2021-08-20 14:45:32.907 INFO  [218127] Logger 0 Initialized
2021-08-20 14:48:27.877 INFO  [220486] Logger 0 Initialized
2021-08-20 14:52:28.934 INFO  [221749] Logger 0 Initialized
2021-08-20 14:54:04.152 INFO  [222761] Logger 0 Initialized
2021-08-20 14:55:16.626 INFO  [223543] Logger 0 Initialized
2021-08-20 14:56:34.865 INFO  [224957] Logger 0 Initialized
2021-08-20 14:58:35.964 INFO  [226222] Logger 0 Initialized
2021-08-20 15:00:29.945 INFO  [227392] Logger 0 Initialized
2021-08-20 15:01:10.291 INFO  [227943] Logger 0 Initialized
2021-08-20 15:02:20.038 INFO  [228997] Logger 0 Initialized
2021-08-20 15:13:25.143 INFO  [232368] Logger 0 Initialized
2021-08-20 15:15:30.546 INFO  [233797] Logger 0 Initialized
2021-08-20 15:25:08.681 INFO  [238950] Logger 0 Initialized
2021-08-20 15:25:56.301 INFO  [239358] Logger 0 Initialized
2021-08-20 15:26:12.031 INFO  [239629] Logger 0 Initialized
2021-08-20 15:27:03.313 INFO  [240238] Logger 0 Initialized
2021-08-20 15:27:21.360 INFO  [240471] Logger 0 Initialized
2021-08-20 15:27:27.820 INFO  [240595] Logger 0 Initialized
2021-08-20 15:28:12.800 INFO  [241186] Logger 0 Initialized
2021-08-20 15:29:07.501 INFO  [241888] Logger 0 Initialized
2021-08-20 15:29:25.152 INFO  [242125] Logger 0 Initialized
2021-08-20 15:29:46.203 INFO  [242462] Logger 0 Initialized
2021-08-20 15:33:37.271 INFO  [245345] Logger 0 Initialized
2021-08-20 15:34:01.998 INFO  [245624] Logger 0 Initialized
2021-08-20 15:35:28.026 INFO  [246486] Logger 0 Initialized
2021-08-20 15:37:21.927 INFO  [247490] Logger 0 Initialized
2021-08-20 15:38:36.224 INFO  [248356] Logger 0 Initialized
2021-08-20 15:38:51.145 INFO  [248627] Logger 0 Initialized
2021-08-20 15:39:19.290 INFO  [249095] Logger 0 Initialized
2021-08-20 15:40:27.392 INFO  [249728] Logger 0 Initialized
2021-08-20 15:41:49.184 INFO  [250621] Logger 0 Initialized
2021-08-20 15:42:06.539 INFO  [250821] Logger 0 Initialized
2021-08-20 15:45:09.300 INFO  [252240] Logger 0 Initialized
2021-08-20 15:45:45.892 INFO  [252705] Logger 0 Initialized
2021-08-20 15:46:15.466 INFO  [253038] Logger 0 Initialized
2021-08-20 15:46:24.295 INFO  [253164] Logger 0 Initialized
2021-08-20 15:47:23.080 INFO  [253924] Logger 0 Initialized
2021-08-20 15:48:27.581 INFO  [254495] Logger 0 Initialized
2021-08-20 15:49:37.910 INFO  [255273] Logger 0 Initialized
2021-08-20 15:50:44.579 INFO  [256199] Logger 0 Initialized
2021-08-20 15:51:15.560 INFO  [256668] Logger 0 Initialized
